Geograghy,AllDeaths,Covid19Deaths,AllDeathsPer100k,Covid19DeathsPer100k,population,percentage_male,percentage_female,percentage_in_houshold,percentage_in_communal,population_density,EthnicWhiteUK,EthnicWhiteIrish,EthnicWhiteGypsy,EthnicWhiteOther,EthnicMixedWBC,EthnicMixedWBA,EthnicMixedWA,EthnicMixedOther,EthnicAsianBI,EthnicAsianBP,EthnicAsianBB,EthnicAsianBC,EthnicAsianOther,EthnicBlackAfrican,EthnicBlackCaribbean,EthnicBlackOther,EthnicArab,EthnicOther,CH4,CO2,HFC,N2O,NF3,PFC,SF6,CO,NMVOC,PM10,PM2.5
E07000130,20,7,12.040939,4.214329,166100,49.900000,50.100000,95.600000,4.400000,6.000000,84.300000,0.600000,0.000000,2.500000,0.500000,0.100000,0.600000,0.300000,6.200000,0.300000,1.200000,1.200000,0.900000,0.500000,0.200000,0.100000,0.300000,0.300000,1.087938,59.842041,3.484944,0.922614,0.000241,0.155078,0.093238,0.214609,0.140666,0.023723,0.014474
E07000131,41,18,48.019489,21.081727,85382,49.600000,50.400000,98.400000,1.600000,1.400000,92.800000,0.600000,0.100000,1.800000,0.400000,0.100000,0.400000,0.200000,2.200000,0.200000,0.100000,0.300000,0.400000,0.200000,0.100000,0.000000,0.000000,0.200000,1.095287,29.127961,1.909090,0.809891,0.000103,0.066032,0.042351,0.104761,0.069660,0.012173,0.006891
E07000132,29,4,27.598546,3.806696,105078,49.200000,50.800000,99.200000,0.800000,3.500000,94.600000,0.400000,0.100000,1.300000,0.300000,0.100000,0.400000,0.200000,1.300000,0.200000,0.100000,0.300000,0.300000,0.100000,0.100000,0.000000,0.100000,0.100000,1.119171,46.486868,2.489406,0.791391,0.000167,0.107146,0.070225,0.153395,0.101354,0.017315,0.010524
E07000133,41,9,81.387963,17.865650,50376,49.100000,50.900000,99.100000,0.900000,1.000000,95.000000,0.500000,0.000000,2.400000,0.300000,0.100000,0.300000,0.200000,0.500000,0.000000,0.000000,0.200000,0.300000,0.100000,0.100000,0.000000,0.000000,0.100000,0.838955,22.096080,1.124694,0.579836,0.000099,0.063978,0.037075,0.082035,0.057573,0.009160,0.005710
E07000134,14,3,14.978388,3.209655,93468,49.600000,50.400000,99.200000,0.800000,3.300000,95.300000,0.400000,0.100000,1.700000,0.400000,0.100000,0.300000,0.200000,0.600000,0.000000,0.000000,0.200000,0.300000,0.100000,0.100000,0.000000,0.000000,0.100000,0.803292,42.136081,2.135443,0.678852,0.000153,0.098296,0.056983,0.141559,0.091600,0.016273,0.009946
E07000135,41,13,72.992701,23.144027,56170,48.400000,51.600000,95.700000,4.300000,23.900000,70.600000,0.700000,0.000000,1.700000,0.700000,0.200000,0.900000,0.400000,17.700000,1.900000,0.200000,0.600000,1.900000,0.500000,0.500000,0.100000,0.300000,1.100000,0.239889,18.578786,1.189278,0.253320,0.000067,0.043386,0.029744,0.062468,0.040803,0.006893,0.004199
E07000136,21,7,32.489132,10.829711,64637,48.800000,51.200000,98.600000,1.400000,1.800000,83.900000,0.300000,0.100000,12.500000,0.300000,0.200000,0.300000,0.300000,0.600000,0.200000,0.100000,0.200000,0.300000,0.300000,0.100000,0.100000,0.100000,0.200000,1.825290,28.436957,1.556272,1.209491,0.000125,0.080202,0.041954,0.099136,0.078395,0.011540,0.007333
E07000137,18,7,13.196384,5.131927,136401,48.700000,51.300000,97.800000,2.200000,0.800000,96.600000,0.400000,0.000000,1.500000,0.300000,0.100000,0.200000,0.100000,0.200000,0.000000,0.100000,0.100000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,2.900918,35.954672,2.367741,1.817154,0.000118,0.076166,0.053215,0.128661,0.093018,0.015848,0.008571
E07000138,47,5,50.245347,5.345250,93541,48.900000,51.100000,93.900000,6.100000,26.200000,89.400000,0.800000,0.100000,5.300000,0.400000,0.200000,0.400000,0.300000,0.600000,0.100000,0.100000,0.500000,0.600000,0.500000,0.200000,0.100000,0.200000,0.200000,0.793478,30.278588,2.022114,0.572589,0.000109,0.070054,0.048977,0.106665,0.068825,0.011968,0.007044
E07000139,21,3,19.486666,2.783809,107766,48.800000,51.200000,98.300000,1.700000,1.200000,95.900000,0.500000,0.100000,1.800000,0.200000,0.100000,0.200000,0.200000,0.200000,0.000000,0.100000,0.200000,0.200000,0.100000,0.100000,0.000000,0.000000,0.100000,1.851370,33.233378,2.045090,1.189144,0.000113,0.072439,0.070762,0.120269,0.079948,0.014206,0.007831
E07000140,36,11,40.783958,12.461765,88270,48.800000,51.200000,99.000000,1.000000,1.200000,90.100000,0.300000,0.100000,7.300000,0.300000,0.200000,0.300000,0.200000,0.300000,0.100000,0.100000,0.200000,0.200000,0.200000,0.100000,0.100000,0.000000,0.100000,2.744455,37.709924,2.089923,1.761126,0.000148,0.095342,0.051382,0.131373,0.101700,0.015933,0.009549
E07000141,34,6,25.413341,4.484707,133788,48.300000,51.700000,99.000000,1.000000,1.400000,93.600000,0.500000,0.100000,3.300000,0.300000,0.100000,0.200000,0.200000,0.400000,0.100000,0.000000,0.300000,0.400000,0.200000,0.100000,0.000000,0.000000,0.100000,1.709279,48.853909,2.906211,1.210016,0.000194,0.124826,0.079041,0.177064,0.119776,0.020021,0.011979
E07000142,36,7,40.336134,7.843137,89250,48.700000,51.300000,98.400000,1.600000,0.800000,96.300000,0.500000,0.200000,1.200000,0.200000,0.100000,0.200000,0.200000,0.400000,0.100000,0.000000,0.100000,0.200000,0.100000,0.100000,0.000000,0.000000,0.000000,2.091710,30.359249,1.700782,1.299056,0.000106,0.068363,0.049325,0.108075,0.075879,0.013011,0.007235
E07000143,21,2,16.093064,1.532673,130491,49.500000,50.500000,97.800000,2.200000,1.000000,91.200000,0.500000,0.200000,5.600000,0.300000,0.200000,0.300000,0.400000,0.200000,0.100000,0.100000,0.200000,0.300000,0.200000,0.200000,0.100000,0.000000,0.100000,2.952018,47.470876,2.660356,1.915650,0.000186,0.119470,0.074661,0.175030,0.124557,0.020737,0.011976
E07000144,54,15,43.322690,12.034081,124646,48.800000,51.200000,98.600000,1.400000,2.300000,95.900000,0.300000,0.000000,1.400000,0.200000,0.100000,0.300000,0.200000,0.300000,0.000000,0.100000,0.200000,0.300000,0.200000,0.100000,0.000000,0.100000,0.100000,1.251608,37.644670,2.557020,0.958332,0.000122,0.078765,0.054625,0.142767,0.087293,0.016735,0.008801
E07000145,31,7,31.867759,7.195946,97277,49.100000,50.900000,98.900000,1.100000,5.600000,92.800000,0.400000,0.100000,3.600000,0.300000,0.300000,0.300000,0.300000,0.500000,0.100000,0.000000,0.200000,0.400000,0.300000,0.100000,0.100000,0.100000,0.200000,0.767220,27.604921,1.793035,0.614608,0.000088,0.056414,0.036026,0.094776,0.060868,0.011117,0.006217
E07000146,33,11,22.380316,7.460105,147451,48.900000,51.100000,98.500000,1.500000,1.000000,92.200000,0.400000,0.200000,4.500000,0.200000,0.200000,0.300000,0.300000,0.500000,0.100000,0.000000,0.300000,0.400000,0.200000,0.100000,0.100000,0.100000,0.100000,2.664942,49.310338,2.932081,1.780468,0.000195,0.125229,0.079927,0.189576,0.129542,0.022153,0.012454
E07000147,54,18,53.202495,17.734165,101499,48.500000,51.500000,97.600000,2.400000,1.100000,96.600000,0.300000,0.000000,1.700000,0.200000,0.100000,0.200000,0.100000,0.100000,0.000000,0.100000,0.100000,0.200000,0.100000,0.100000,0.000000,0.000000,0.100000,1.819900,26.935063,1.808040,1.195922,0.000091,0.058409,0.036660,0.102364,0.069737,0.012380,0.006488
E07000148,37,5,27.922000,3.773243,132512,49.300000,50.700000,96.400000,3.600000,34.000000,84.700000,0.700000,0.100000,5.400000,0.500000,0.500000,0.700000,0.600000,1.300000,0.200000,0.400000,1.300000,1.300000,1.300000,0.200000,0.100000,0.500000,0.400000,0.523922,32.070214,2.515160,0.566342,0.000097,0.062645,0.043091,0.108780,0.067203,0.012292,0.006990
